timestep,phase,slot_idx,output_idx,feature_idx,input_spikes,leak_term,input_sum,recurrent_sum,membrane_out,spike_out,feature_value,weight,product,accumulator,position_estimate,velocity_estimate
0,neuron,0,,,"1,0,1,0",0.0,-0.0302734375,0.0,-0.0302734375,0,,,,,,
0,neuron,1,,,"1,0,1,0",0.0,-0.487548828125,0.0,-0.487548828125,0,,,,,,
0,neuron,2,,,"1,0,1,0",0.0,-1.071044921875,0.0,-1.071044921875,0,,,,,,
0,neuron,3,,,"1,0,1,0",0.0,-0.5419921875,0.0,-0.5419921875,0,,,,,,
0,neuron,4,,,"1,0,1,0",0.0,0.245361328125,0.0,0.245361328125,0,,,,,,
0,neuron,5,,,"1,0,1,0",0.0,1.001708984375,0.0,0.001708984375,1,,,,,,
0,neuron,6,,,"1,0,1,0",0.0,-0.65673828125,0.0,-0.65673828125,0,,,,,,
0,neuron,7,,,"1,0,1,0",0.0,-0.21630859375,0.0,-0.21630859375,0,,,,,,
0,readout,,0,0,"1,0,1,0",,,,,,-0.0302734375,-0.245849609375,0.00732421875,0.00732421875,0.13134765625,0.264404296875
0,readout,,0,1,"1,0,1,0",,,,,,-0.487548828125,0.25048828125,-0.1220703125,-0.11474609375,0.13134765625,0.264404296875
0,readout,,0,2,"1,0,1,0",,,,,,-1.071044921875,-0.015380859375,0.016357421875,-0.098388671875,0.13134765625,0.264404296875
0,readout,,0,3,"1,0,1,0",,,,,,-0.5419921875,-0.057373046875,0.031005859375,-0.0673828125,0.13134765625,0.264404296875
0,readout,,0,4,"1,0,1,0",,,,,,0.245361328125,0.0048828125,0.001220703125,-0.066162109375,0.13134765625,0.264404296875
0,readout,,0,5,"1,0,1,0",,,,,,0.001708984375,0.10595703125,0.000244140625,-0.06591796875,0.13134765625,0.264404296875
0,readout,,0,6,"1,0,1,0",,,,,,-0.65673828125,-0.00244140625,0.001708984375,-0.064208984375,0.13134765625,0.264404296875
0,readout,,0,7,"1,0,1,0",,,,,,-0.21630859375,0.31591796875,-0.068359375,-0.132568359375,0.13134765625,0.264404296875
0,readout,,0,8,"1,0,1,0",,,,,,0.25830078125,1.9990234375,0.516357421875,0.3837890625,0.13134765625,0.264404296875
0,readout,,0,9,"1,0,1,0",,,,,,0.129150390625,-1.9990234375,-0.258056640625,0.125732421875,0.13134765625,0.264404296875
0,readout,,0,10,"1,0,1,0",,,,,,1.0,0.005615234375,0.005615234375,0.13134765625,0.13134765625,0.264404296875
0,readout,,1,0,"1,0,1,0",,,,,,-0.0302734375,0.021240234375,-0.000732421875,-0.000732421875,0.13134765625,0.264404296875
0,readout,,1,1,"1,0,1,0",,,,,,-0.487548828125,-0.540771484375,0.263671875,0.262939453125,0.13134765625,0.264404296875
0,readout,,1,2,"1,0,1,0",,,,,,-1.071044921875,0.103271484375,-0.110595703125,0.15234375,0.13134765625,0.264404296875
0,readout,,1,3,"1,0,1,0",,,,,,-0.5419921875,0.0478515625,-0.02587890625,0.12646484375,0.13134765625,0.264404296875
0,readout,,1,4,"1,0,1,0",,,,,,0.245361328125,-0.000244140625,0.0,0.12646484375,0.13134765625,0.264404296875
0,readout,,1,5,"1,0,1,0",,,,,,0.001708984375,0.17724609375,0.000244140625,0.126708984375,0.13134765625,0.264404296875
0,readout,,1,6,"1,0,1,0",,,,,,-0.65673828125,-0.113525390625,0.074462890625,0.201171875,0.13134765625,0.264404296875
0,readout,,1,7,"1,0,1,0",,,,,,-0.21630859375,-0.090576171875,0.01953125,0.220703125,0.13134765625,0.264404296875
0,readout,,1,8,"1,0,1,0",,,,,,0.25830078125,0.736328125,0.190185546875,0.410888671875,0.13134765625,0.264404296875
0,readout,,1,9,"1,0,1,0",,,,,,0.129150390625,0.166015625,0.021484375,0.432373046875,0.13134765625,0.264404296875
