t,measurement,delta,true_position,true_velocity,snn_position,snn_velocity,kalman_position,kalman_velocity,qkalman_position,qkalman_velocity,hwsnn_position,hwsnn_velocity,input_spike_0,input_spike_1,input_spike_2,input_spike_3,reservoir_spike_0,reservoir_spike_1,reservoir_spike_2,reservoir_spike_3,reservoir_spike_4,reservoir_spike_5,reservoir_spike_6,reservoir_spike_7,membrane_0,membrane_1,membrane_2,membrane_3,membrane_4,membrane_5,membrane_6,membrane_7
0,0.6459664812315845,0.6459664812315845,0.4855707640043708,0.2892252805844107,0.13134765625,0.264404296875,0.6459664812315845,0.0,0.64599609375,0.0,0.13134765625,0.264404296875,1,0,1,0,0,0,0,0,0,1,0,0,-0.0302734375,-0.487548828125,-1.071044921875,-0.5419921875,0.245361328125,0.001708984375,-0.65673828125,-0.21630859375
1,0.3447450941812342,-0.3012213870503503,0.4912980226875772,0.2863629341603183,0.364990234375,-0.040283203125,0.4911882470966823,-0.4603958150963507,0.48974609375,-0.463134765625,0.364990234375,-0.040283203125,0,0,0,1,0,0,0,0,0,0,0,0,-0.53955078125,-0.41748046875,-1.436279296875,-0.80615234375,0.231689453125,-0.2509765625,-0.1953125,-0.34228515625
2,0.4750034737652518,0.1302583795840176,0.49696803444230175,0.28350058773622594,0.30078125,0.007568359375,0.4792692748464063,-0.47983280133459355,0.478515625,-0.478271484375,0.30078125,0.007568359375,0,0,0,0,0,0,0,0,0,0,0,0,-0.47216796875,-0.365234375,-1.2568359375,-0.705322265625,0.20263671875,-0.2197265625,-0.1708984375,-0.299560546875
3,0.5586765874372595,0.08367311367200764,0.5025807992685444,0.28063824131213355,0.408203125,0.121826171875,0.5014577359542454,-0.1616825574514832,0.500244140625,-0.14892578125,0.408203125,0.121826171875,1,0,0,0,0,0,0,0,0,0,0,0,-0.62451171875,-0.276611328125,-1.654541015625,-0.707763671875,0.330078125,0.379150390625,-0.576416015625,-0.645263671875
4,0.4688889438192724,-0.08978764361798708,0.5081363171663053,0.27777589488804116,0.407470703125,0.07470703125,0.48784368802386097,-0.27449208128710156,0.4873046875,-0.2607421875,0.407470703125,0.074951171875,0,0,0,0,0,0,0,0,0,0,0,0,-0.54638671875,-0.241943359375,-1.44775390625,-0.619384765625,0.288818359375,0.331787109375,-0.50439453125,-0.564697265625
5,0.5934718108879403,0.12458286706866795,0.5136345881355843,0.2749135484639488,0.440185546875,0.199951171875,0.5216002826727166,0.13984122288817324,0.521240234375,0.162353515625,0.440185546875,0.199951171875,1,0,0,0,0,0,0,0,0,0,0,0,-0.689453125,-0.168701171875,-1.82177734375,-0.632568359375,0.405517578125,0.86181640625,-0.868408203125,-0.877197265625
6,0.5540128945910237,-0.03945891629691667,0.5190756121763814,0.2720512020398564,0.384521484375,0.0771484375,0.5346831853616635,0.24071090394240297,0.53466796875,0.263427734375,0.384521484375,0.0771484375,1,0,0,0,0,0,0,0,0,1,0,0,-0.814697265625,-0.104736328125,-2.14892578125,-0.64404296875,0.507568359375,0.32568359375,-1.186767578125,-1.150634765625
7,0.5389177271826192,-0.015095167408404442,0.5244593892886967,0.269188855615764,0.3916015625,0.157470703125,0.539302577012548,0.238963596429348,0.53955078125,0.259765625,0.3916015625,0.157470703125,1,0,0,0,0,0,0,0,0,0,0,0,-0.92431640625,-0.048583984375,-2.443115234375,-0.654052734375,0.738037109375,0.8564453125,-1.46533203125,-1.389892578125
8,0.5285647113471007,-0.010353015835518509,0.5297859194725302,0.2663265091916716,0.299560546875,0.05126953125,0.5390927962343458,0.19816712932657649,0.539306640625,0.21875,0.299560546875,0.05126953125,1,0,0,0,0,0,0,0,0,1,0,0,-1.020263671875,0.00048828125,-2.692626953125,-0.662841796875,0.798583984375,0.321044921875,-1.709228515625,-1.59912109375
9,0.6657457877320859,0.13718107638498522,0.5350552027278818,0.2634641627675792,0.38623046875,0.182861328125,0.5805343215011927,0.47819331782494334,0.582275390625,0.482177734375,0.38623046875,0.182861328125,1,0,0,0,0,0,0,0,0,0,0,0,-1.104248046875,0.04345703125,-2.918701171875,-0.670654296875,0.99267578125,0.8525390625,-1.922607421875,-1.7822265625
10,0.6150615561725807,-0.05068423155950519,0.5402672390547515,0.26060181634348684,0.339599609375,0.06103515625,0.597318178372441,0.5276913828602458,0.598388671875,0.526123046875,0.339599609375,0.06103515625,1,0,0,0,0,0,0,0,1,1,0,0,-1.177734375,0.0810546875,-3.10888671875,-0.677490234375,0.021484375,0.317626953125,-2.109375,-1.942626953125
11,0.41123564210361074,-0.20382591406897,0.5454220284531394,0.25773946991939445,0.349365234375,-0.200439453125,0.554091010169891,0.18774957737377107,0.55810546875,0.18701171875,0.349365234375,-0.200439453125,0,0,0,1,0,0,0,0,0,0,0,0,-1.543701171875,0.1318359375,-3.21923828125,-0.9248046875,0.035888671875,-0.00146484375,-1.46630859375,-1.852783203125
12,0.6024437312870281,0.19120808918341736,0.5505195709230454,0.25487712349530206,0.3701171875,-0.01708984375,0.5693826333164395,0.25530842097857065,0.572265625,0.248779296875,0.3701171875,-0.01708984375,1,0,0,0,0,0,0,0,0,0,0,0,-1.562255859375,0.158203125,-3.371826171875,-0.899658203125,0.184326171875,0.5703125,-1.7099609375,-2.004150390625
13,0.6326482082823499,0.030204476995321805,0.5555598664644695,0.2520147770712097,0.375732421875,-0.091796875,0.5887322262085154,0.3329414385841404,0.59130859375,0.320068359375,0.375732421875,-0.091796875,1,0,0,0,0,0,0,0,0,1,0,0,-1.578369140625,0.181396484375,-3.50537109375,-0.877685546875,0.314208984375,0.070556640625,-1.923095703125,-2.13671875
14,0.4816457357837113,-0.15100247249863863,0.5605429150774118,0.2491524306471173,0.343994140625,-0.129638671875,0.5689800191867254,0.19838512393748992,0.5703125,0.1904296875,0.343994140625,-0.129638671875,0,0,0,0,0,0,0,0,0,0,0,0,-1.381103515625,0.15869140625,-3.074951171875,-0.76806640625,0.416015625,0.061767578125,-1.6826171875,-1.86962890625
15,0.5258786789745841,0.04423294319087279,0.5654687167618724,0.24629008422302495,0.332275390625,-0.002685546875,0.5625681393311575,0.14876133302953515,0.56396484375,0.14208984375,0.332275390625,-0.002685546875,1,0,0,0,0,0,0,0,0,0,0,0,-1.419921875,0.181884765625,-3.24560546875,-0.7626953125,0.516845703125,0.62548828125,-1.899169921875,-2.01904296875
16,0.5651061589675017,0.03922747999291765,0.5703372715178511,0.2434277377989326,0.287109375,-0.07470703125,0.5654516371474128,0.1483483191190105,0.566650390625,0.140625,0.287109375,-0.07470703125,1,0,0,0,0,0,0,0,0,1,0,0,-1.453857421875,0.2021484375,-3.394775390625,-0.758056640625,0.60498046875,0.118896484375,-2.0888671875,-2.149658203125
17,0.7200839569491443,0.15497779798164257,0.5751485793453479,0.24056539137484023,0.402587890625,0.078125,0.5987485420410184,0.2773811393276497,0.6015625,0.263671875,0.402587890625,0.078125,1,0,0,0,0,0,0,0,0,0,0,0,-1.483642578125,0.2197265625,-3.533203125,-0.75390625,0.8232421875,0.675537109375,-2.254638671875,-2.263916015625
